Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
red-pink-cardigan,,,,,,,,XS,,Inkwell Navy,,,"",0.0,shopify,2,deny,manual,245.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/image_7d9b6dcc-7529-4f72-8016-c7276a5e87ee.jpg?v=1604268626,5,La Sororité - Sleeve of Elisabetta Cardigan,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Screen_Shot_2020-10-29_at_12.27.06.png?v=1604268626,lb,,,
red-pink-cardigan,,,,,,,,S,,Inkwell Navy,,,"",0.0,shopify,2,deny,manual,245.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/image_c5794325-e03a-4496-945a-fa4a260cd48d.jpg?v=1604268626,6,,,,,,,,,,,,,,,,,,,lb,,,
red-pink-cardigan,,,,,,,,M,,Inkwell Navy,,,"",0.0,shopify,2,deny,manual,245.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Screen_Shot_2020-10-29_at_12.27.06.png?v=1604268626,7,,,,,,,,,,,,,,,,,,,lb,,,
red-pink-cardigan,,,,,,,,L,,Inkwell Navy,,,"",0.0,shopify,2,deny,manual,245.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,,
the-emmeline-jumper,The Emmeline Jumper,"<p style=""font-size: 14px; text-align: center;""><span></span>Crafted from the loving hands of our Nepalese ateliers, using the finest luxury cashmere, our Two Tone jumper is the perfect staple piece for your AW19 wardrobe. Complete with modern ribbed detailing and finished with sleek deep sits on each side, this contemporary jumper is designed to see you through from day-to-night in style.<br><br><em>All of our packaging is bio-degradable and sustainable.<br><br></em><a href=""https://www.lasororite.com/pages/size-guide""><span style=""color: #902f2f;""><span color=""#a88b40"" style=""color: #a88b40;"">Size Guide</span></span></a><em><br><br></em></p>
<meta charset=""utf-8"">
<div style=""display: flex;"">
<p style=""display: flex; align-items: center; text-align: center; width: 200px; font-size: 11px;""><img src=""//cdn.shopify.com/s/files/1/0076/4159/5962/files/951608-200_large.png?v=1559239726"" alt="""" width=""30"" height=""30""> 100% Highest grade of Nepalese Cashmere</p>
<p style=""display: flex; align-items: center; text-align: center; width: 200px; font-size: 11px;"">            <img src=""//cdn.shopify.com/s/files/1/0076/4159/5962/files/hand_1078331_large.png?v=1559239933"" alt="""" width=""20"" height=""20"">  Made in our fair-trade factory in Nepal</p>
<p style=""display: flex; align-items: center; text-align: center; width: 200px; font-size: 11px;"">       <img src=""//cdn.shopify.com/s/files/1/0076/4159/5962/files/img_448076_large.png?v=1559240003"" alt="""" width=""25"" height=""25"">  True to size (does not stretch easily)</p>
</div>",La Sororité,"",Jumpers,true,Size,XS,,,,,"",500.0,shopify,2,deny,manual,215.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Two_tone_3.jpg?v=1602172190,1,La Sororité - Grey and Black Jumper,false,The Emmeline Jumper | Grey and Black Knitwear | La Sororité,"Crafted by our Nepalese ateliers, using the finest luxury cashmere, our Two Tone jumper is the perfect staple piece for every women's wardrobe. Complete with modern ribbed detailing and finished with sleek deep sits on each side, this contemporary woollen round-neck jumper is available in wide range of sizes. ",,,,,,,,,,,,,,,kg,,85.00,active
the-emmeline-jumper,,,,,,,,S,,,,,"",680.388555,shopify,5,deny,manual,215.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Cover_for_two_tone.jpg?v=1602172213,2,La Sororité - Round Neck Knit Jumper,,,,,,,,,,,,,,,,,,lb,,85.00,
the-emmeline-jumper,,,,,,,,M,,,,,"",680.388555,shopify,6,deny,manual,215.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Two_tone_4.jpg?v=1602172239,3,La Sororité - Grey Black Woollen Jumper,,,,,,,,,,,,,,,,,,lb,,85.00,
the-emmeline-jumper,,,,,,,,L,,,,,"",680.388555,shopify,0,deny,manual,215.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,lb,,85.00,
the-eva-jumper,The Eva Jumper,"<div dir=""ltr"">
<div>
<div>
<div style=""text-align: center;"">The grey with neon crew-neck cashmere jumper is a jumper you will always want to wear and no-one will forget. The devil is in the detail and we knew if we were going to re-design a classic, we had to do it well. Hand-made with the finest high-grade cashmere, to ensure the perfect fit; classic with a twist, we have added a splash of colour linkage to bring this favourite to life.</div>
</div>
</div>
</div>
<div style=""font-size: 14px; text-align: center;"">
<br><em>All of our packaging is bio-degradable and sustainable.<br><br></em>
</div>
<p style=""font-size: 14px; text-align: center;""><span style=""color: #511b1b;""><a href=""https://www.lasororite.com/pages/size-guide""><span color=""#a88b40"" style=""color: #a88b40;"">Size Guide</span></a><a href=""https://la-sororite.myshopify.com/admin/themes/78926315609/editor#/pages/size-guide""><br><br><span color=""#a88b40"" style=""color: #a88b40;"">Model Measurement: Height 181cm Bust 91cm Waist 66.5cm </span><br><br></a></span></p>
<meta charset=""utf-8"">
<div style=""display: flex;"">
<p style=""display: flex; align-items: center; text-align: center; width: 200px; font-size: 11px;""><img src=""//cdn.shopify.com/s/files/1/0076/4159/5962/files/951608-200_large.png?v=1559239726"" alt="""" width=""30"" height=""30""> 100% Highest grade of Nepalese Cashmere</p>
<p style=""display: flex; align-items: center; text-align: center; width: 200px; font-size: 11px;"">            <img src=""//cdn.shopify.com/s/files/1/0076/4159/5962/files/hand_1078331_large.png?v=1559239933"" alt="""" width=""20"" height=""20"">  Made in our fair-trade factory in Nepal</p>
<p style=""display: flex; align-items: center; text-align: center; width: 200px; font-size: 11px;"">       <img src=""//cdn.shopify.com/s/files/1/0076/4159/5962/files/img_448076_large.png?v=1559240003"" alt="""" width=""25"" height=""25"">  True to size (does not stretch easily)</p>
</div>",La Sororité,"",Jumpers,true,Size,XS,,,,,"",500.0,shopify,1,deny,manual,235.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Grey_neon_image_4.jpg?v=1602172306,1,La Sororité - Grey Jumper,false,The Eva Jumper | Grey Knitwear with Neon Detail | La Sororité,"The grey crew-neck cashmere jumper is a knitwear no-one will forget. Hand-made in Nepal with the finest high-grade cashmere, to ensure the perfect fit.  We have added a splash of neon to bring this favourite women's winterwear to life. Order your Jumper now - On Sale, Different sizes available. ",,,,,,,,,,,,,,,kg,,85.00,active
the-eva-jumper,,,,,,,,S,,,,,"",680.388555,shopify,0,deny,manual,235.00,,true,true,"",https://cdn.shopify.com/s/files/1/0076/4159/5962/products/Grey_neon_image_1_1.jpg?v=1602172326,2,La Sororité - Woollen Crew Neck Jumper,,,,,,,,,,,,,,,,,,lb,,85.00,
